category_name,main_category
Investment Companies,Finances & Insurance
iOS,Computers & Internet
Jewellery,Shopping
Junk Dealers,Business Services
Kennels,Business Services
Kids,Shopping
Kindergartens,Public & Social Services
Landscaping,Tradesmen & Construction
Laundry and Dry Cleaning,Business Services
Lawyers,Legal
Leasing,Finances & Insurance
Leisure,Entertainment & Media
Letting Agents,Property
Lifestyle Management,Entertainment & Media
Limousines,Transport & Motoring
Local Authorities,Public & Social Services
Locksmiths,Tradesmen & Construction
Logistics,Transport & Motoring
Lumber,Tradesmen & Construction
Machine Learning,Computers & Internet
Mail Services,Computers & Internet
Marine Services,Transport & Motoring
Marketing,Business Services
Marketplace,Shopping
Market Research,Business Services
Massage Therapists,Health & Beauty
Mechanics,Transport & Motoring
Medical Equipment,Health & Beauty
Membership Services,Business Services
Mental Health Care,Health & Beauty
Metals,Tradesmen & Construction
Military,Public & Social Services
Ministries,Public & Social Services
Mobile Phone Shops,Shopping
Mobility Aids,Health & Beauty
Money Services,Finances & Insurance
Motorbikes,Transport & Motoring
Music,Entertainment & Media
Nanny Agency,Business Services
Networking,Computers & Internet
Nonprofit Organizations,Public & Social Services
Nursing and Care,Health & Beauty
Office Services,Business Services
Oil & Gas Companies,Manufacturing & Industry
Online 18,Shopping
Online 23 Listings,Property
Online Content,Computers & Internet
Optical Shop,Shopping
Opticians,Health & Beauty
Organic Products,Food & Drink
Organizations,Public & Social Services
Outlets,Shopping
Overseas 23,Property
Overseas Business,Business Services
Package Shipping,Transport & Motoring
Paper Products,Manufacturing & Industry
Parking,Transport & Motoring
Parties,Entertainment & Media
Paving,Tradesmen & Construction
Pawnshops,Finances & Insurance
Payment Services,Finances & Insurance
Payroll Services,Finances & Insurance
Performing Arts,Entertainment & Media
Personal Care,Health & Beauty
Personal Finance,Finances & Insurance
Pest Control,Tradesmen & Construction
Pet Grooming,Business Services
Petrol Station,Transport & Motoring
Pets and Animals,Entertainment & Media
Pet Shops,Shopping
Pharmacies,Health & Beauty
Photography,Entertainment & Media
Places to Visit,Tourism & Accommodation
Plumbers,Tradesmen & Construction
Podcast,Entertainment & Media
Police Departments,Public & Social Services
